Alphah,T1_Re0.270_M0.04_N9.0,,Alpha,cl,,
-0.7,1.066495,,-1.7,0.9446408,,
-0.6,1.080243,,-1.6,0.9585465,,
-0.5,1.092994,,-1.5,0.9720801,,
-0.4,1.104848,,-1.4,0.9851855,,
-0.3,1.115976,,-1.3,0.9981003,,
-0.2,1.126738,,-1.2,1.011321,,
-0.1,1.139058,,-1.1,1.024765,,
0,1.150732,,-1,1.036848,,
0.1,1.161832,,-0.9,1.048609,,
0.2,1.172116,,-0.8,1.060138,,
0.3,1.182893,,-0.7,1.071126,,
0.4,1.193312,,-0.6,1.081777,,
0.5,1.203556,,-0.5,1.095315,,
0.6,1.214056,,-0.4,1.107314,,
0.7,1.224665,,-0.3,1.118627,,
0.8,1.235055,,-0.2,1.129716,,
0.9,1.245424,,-0.1,1.140664,,
1,1.256351,,0,1.153376,,
1.1,1.26691,,0.1,1.164567,,
1.2,1.277601,,0.2,1.175231,,
1.3,1.288369,,0.3,1.185929,,
1.4,1.299248,,0.4,1.196752,,
1.5,1.30991,,0.5,1.207358,,
1.6,1.317869,,0.6,1.217836,,
1.8,1.334703,,0.7,1.228662,,
1.9,1.345331,,0.8,1.239424,,
2,1.356015,,0.9,1.249988,,
2.1,1.366743,,1,1.260581,,
2.2,1.377494,,1.1,1.271429,,
2.3,1.388286,,1.2,1.282129,,
2.4,1.39916,,1.3,1.293223,,
2.5,1.410151,,1.7,1.330856,,
2.6,1.421262,,1.9,1.352215,,
2.7,1.432351,,2,1.363685,,
2.8,1.44279,,2.1,1.375248,,
2.9,1.452646,,2.2,1.386198,,
3,1.462417,,2.3,1.396417,,
3.1,1.472112,,2.4,1.40657,,
3.2,1.481738,,2.5,1.416664,,
3.3,1.491304,,2.6,1.426703,,
3.4,1.500815,,2.7,1.436696,,
3.5,1.510264,,2.8,1.446648,,
3.6,1.519668,,2.9,1.456565,,
3.7,1.529043,,3,1.466452,,
3.8,1.538402,,3.1,1.476316,,
3.9,1.547765,,3.2,1.486164,,
4,1.557145,,3.3,1.495992,,
4.1,1.566559,,3.4,1.505788,,
4.2,1.576015,,3.5,1.51556,,
4.3,1.585515,,3.6,1.525318,,
4.4,1.595055,,3.7,1.53507,,
4.5,1.604633,,3.8,1.544821,,
4.6,1.614232,,3.9,1.554572,,
4.7,1.623846,,4,1.564321,,
4.8,1.633466,,4.1,1.574061,,
4.9,1.643076,,4.2,1.583785,,
5,1.652656,,4.3,1.593484,,
5.1,1.662184,,4.4,1.603154,,
5.2,1.67165,,4.5,1.612789,,
5.3,1.681116,,4.6,1.622484,,
5.4,1.690758,,4.7,1.632192,,
5.5,1.700464,,4.8,1.641891,,
5.6,1.710249,,4.9,1.651606,,
5.7,1.720171,,5,1.66139,,
5.8,1.730303,,5.1,1.671323,,
5.9,1.740708,,5.2,1.681524,,
6,1.751296,,5.3,1.692102,,
6.1,1.760634,,5.4,1.703054,,
6.2,1.768565,,5.5,1.714063,,
6.3,1.776292,,5.6,1.723076,,
6.4,1.783832,,5.7,1.731739,,
6.5,1.791213,,5.8,1.740238,,
6.6,1.798475,,5.9,1.748583,,
6.7,1.805671,,6,1.75678,,
6.8,1.812837,,6.1,1.764842,,
6.9,1.819999,,6.2,1.772793,,
7,1.827128,,6.3,1.780664,,
7.1,1.834218,,6.4,1.788489,,
7.2,1.841159,,6.5,1.796301,,
7.3,1.847857,,6.6,1.804129,,
7.4,1.854539,,6.7,1.812,,
7.5,1.861222,,6.8,1.819879,,
7.6,1.867949,,6.9,1.827553,,
7.7,1.874751,,7,1.835097,,
7.8,1.881639,,7.1,1.842613,,
7.9,1.888602,,7.2,1.850077,,
8,1.895618,,7.3,1.857495,,
8.1,1.902589,,7.4,1.864863,,
8.2,1.909443,,7.5,1.872168,,
8.3,1.916121,,7.6,1.879389,,
8.4,1.922783,,7.7,1.886524,,
8.5,1.930053,,7.8,1.893704,,
8.6,1.937575,,7.9,1.900968,,
8.7,1.94544,,8,1.908149,,
8.8,1.953871,,8.1,1.91534,,
8.9,1.963158,,8.2,1.922702,,
9,1.973588,,8.3,1.930609,,
9.1,1.985048,,8.4,1.939675,,
9.2,1.989644,,8.5,1.950552,,
9.3,1.992798,,8.6,1.963182,,
9.4,1.995622,,8.7,1.968894,,
9.5,1.997887,,8.8,1.973578,,
9.6,1.999983,,8.9,1.978197,,
9.7,2.002166,,9,1.982778,,
9.8,2.004438,,9.1,1.987305,,
9.9,2.006436,,9.2,1.991502,,
10,2.00852,,9.3,1.995421,,
10.1,2.011031,,9.4,1.999299,,
10.2,2.013972,,9.5,2.003267,,
10.3,2.017218,,9.6,2.007362,,
10.4,2.02044,,9.7,2.011513,,
10.5,2.023664,,9.8,2.01549,,
10.6,2.027198,,9.9,2.019566,,
10.7,2.031101,,10,2.023916,,
10.8,2.035247,,10.1,2.028521,,
10.9,2.039442,,10.2,2.033309,,
11,2.04343,,10.3,2.038097,,
11.1,2.047934,,10.4,2.042603,,
11.2,2.052909,,10.5,2.046646,,
11.3,2.058235,,10.6,2.050934,,
11.4,2.064169,,10.7,2.055307,,
11.5,2.071184,,10.8,2.059746,,
11.6,2.080084,,10.9,2.06433,,
11.7,2.091469,,11,2.069433,,
11.8,2.09178,,11.1,2.07591,,
11.9,2.089831,,11.2,2.084644,,
12,2.08695,,11.3,2.095613,,
12.1,2.083392,,11.4,2.09789,,
12.2,2.080554,,11.5,2.09831,,
12.3,2.077641,,11.6,2.098148,,
12.4,2.073695,,11.7,2.098246,,
12.5,2.071161,,11.8,2.098565,,
12.6,2.069818,,11.9,2.098479,,
12.7,2.068777,,12,2.097959,,
12.8,2.067004,,12.1,2.098193,,
12.9,2.06648,,12.2,2.09905,,
13,2.06693,,12.3,2.100234,,
13.1,2.067959,,12.4,2.100519,,
